Image,Class,Mean,Variance,Standard Deviation,Entropy,Skewness,Kurtosis,Contrast,Energy,ASM,Homogeneity,Dissimilarity,Correlation,Coarseness
Image1,0,6.53533935546875,619.587844574841,24.891521539971,0.109059009370733,4.27647702615029,18.9005747905553,98.6139705882353,0.293314496659804,0.086033393950794,0.530941131652007,4.47334558823529,0.981938696883038,7.45834073119875E-155
Image2,0,8.74996948242188,805.957633995078,28.3893929839135,0.266538306720193,3.71811562576237,14.4646175387718,63.8588158750813,0.475051295953323,0.225673733786932,0.651352027489261,3.22007156798959,0.988834395612519,7.45834073119875E-155
Image3,1,7.34109497070313,1143.80821918438,33.8202338724081,0.001466811014785,5.06175041156417,26.4795631645533,81.8672059319178,0.031916712116093,0.001018676512302,0.268274889054872,5.98179979777553,0.978013692812984,7.45834073119875E-155
Image4,1,5.95814514160156,959.711984907359,30.9792185974301,0.001477124416674,5.67797740882281,33.4288453356089,151.229741019215,0.032023748977051,0.001025520498545,0.243850913161766,7.70091896407686,0.964189183043956,7.45834073119875E-155
Image5,0,7.31523132324219,729.540578978274,27.0100088666826,0.146760595840014,4.28322090823909,19.0791082932465,174.988755980861,0.343849413865669,0.118232419415764,0.501139540186341,6.83468899521531,0.972788726424128,7.45834073119875E-155
Image6,0,7.52410888671875,607.395257778402,24.6453901932674,0.214085625648148,3.7298861207408,14.4717360547478,105.077881619938,0.42158745340618,0.177735980869508,0.598169203005808,4.19314641744548,0.976484963476823,7.45834073119875E-155
Image7,0,12.3044128417969,922.746137739561,30.376736785566,0.128833098715211,2.9300947326401,8.96934763269485,115.203118415508,0.320674560600768,0.102832173816496,0.532292452741065,4.8803202697008,0.974745237490247,7.45834073119875E-155
Image8,0,15.9294738769531,1069.95024757066,32.7100939706792,0.107657590137778,2.48400219180961,6.51588946409096,94.8742884250474,0.291321372548541,0.084868142103566,0.532261672519743,4.2420540796964,0.976774223350244,7.45834073119875E-155
Image9,0,19.9216156005859,1166.12092201469,34.1485127350326,0.094975456825205,2.12917301078744,4.90584417633038,93.8189200947455,0.272485776142609,0.07424849820004,0.526643665810971,4.02716681974187,0.974310317140636,7.45834073119875E-155
Image10,1,8.4761962890625,1095.7851273195,33.1026453220811,0.003001891105522,4.36499992307425,19.6825136630962,72.5887826961771,0.04568508107728,0.002087126633038,0.361431638579309,4.59079476861167,0.967829699641667,7.45834073119875E-155
Image11,1,9.80461120605469,1114.82965293078,33.3890648705647,0.002436208884111,3.87272769515841,15.5528616320745,66.2854623824451,0.041140002024915,0.00169249976661,0.375617667940156,4.62676332288401,0.968749847385631,7.45834073119875E-155
Image12,1,12.3267822265625,1150.6771443364,33.9216323949246,0.003768576062697,3.62397773230122,14.7622698995657,165.48479064774,0.051321049752206,0.002633850147668,0.385291640705322,5.21543600143147,0.958601276832679,7.45834073119875E-155
Image13,1,10.1934661865234,813.924363430001,28.5293596743776,0.009774474664878,3.3591346679549,12.1816695073899,110.568642951252,0.083283924590368,0.006936212095174,0.470426405236625,3.56679841897233,0.94688413919156,7.45834073119875E-155
Image14,0,7.15631103515625,413.438221306825,20.3331803047832,0.081825463381282,3.17978135268035,10.2873465883758,122.402663706992,0.250908148623068,0.062954899045456,0.583888568925053,3.55249722530522,0.938238114620825,7.45834073119875E-155
Image15,0,5.29147338867188,430.963765610282,20.7596667991151,0.354116232778659,4.3691843894308,19.6319204434034,46.8642912772586,0.555339875447591,0.308402377262146,0.72132117626202,2.37363707165109,0.987914478717326,7.45834073119875E-155
Image16,1,12.7739410400391,988.403172236022,31.4388799456345,0.002234181297473,3.19546227544347,11.1018788556899,84.6641020646669,0.039396010126098,0.001552045613856,0.373189700495666,5.03359953252824,0.974600382581462,7.45834073119875E-155
Image17,1,15.3175201416016,1076.87800170566,32.8158193819027,0.004807546478788,2.8348341995126,8.81487188690754,102.248415081748,0.058072767984896,0.003372446381428,0.399251412405423,5.04904904904905,0.959732931338742,7.45834073119875E-155
Image18,0,6.24671936035156,459.398171029109,21.4335757872808,0.121085178908281,3.80588348238662,14.7674267225343,95.8585051546392,0.309860478251162,0.096013515982039,0.559772305022537,4.2340206185567,0.972072472365839,7.45834073119875E-155
Image19,0,5.45042419433594,337.879290910376,18.3814931632437,0.112746337643048,3.76510753045326,14.5281323595575,63.1847713097713,0.297823227160299,0.088698674636175,0.620169304749455,2.62162162162162,0.973650519195914,7.45834073119875E-155
Image20,0,8.333740234375,475.782357089849,21.8124358357761,0.204901687523465,3.078875173646,9.94949919172858,71.2095776163573,0.411427361443303,0.169272473744198,0.652961817949038,2.89978477266613,0.972399836645953,7.45834073119875E-155
Image21,0,6.33952331542969,293.878380981809,17.1428813500476,0.069965443628399,3.18084933788769,10.4394258571432,92.8457098884186,0.231417755614859,0.053554177613819,0.52395752049829,4.11735282801077,0.935662144202623,7.45834073119875E-155
Image22,0,1.48027038574219,62.0912591920707,7.87980070763663,0.132055244026389,5.94451767924295,36.9873983380653,86.3439153439153,0.324792638204021,0.105490257831528,0.535061606833758,3.87566137566138,0.912182184762455,7.45834073119875E-155
Image23,0,4.50605773925781,280.829159424403,16.7579580923334,0.133243102254785,4.15313290435385,17.768020132398,52.5545400943396,0.326223047030255,0.106421476413704,0.581161770083611,3.01179245283019,0.97791527261095,7.45834073119875E-155
Image24,0,6.5928955078125,392.211338456223,19.8043262560538,0.20487570123203,3.43867459921623,12.2544347489556,73.9572413793104,0.411389097023513,0.169240989149822,0.635297022381439,2.98896551724138,0.97101475703432,7.45834073119875E-155
Image25,0,10.9642944335938,619.832925128565,24.8964440257753,0.12659830217005,2.72056296825148,7.77572929815357,91.6058997050148,0.317505180238994,0.100809539478596,0.5640822544282,3.77174696820714,0.966220222337402,7.45834073119875E-155
Image26,1,7.48370361328125,761.819740076307,27.6010822265415,0.001379887976487,4.36895123932326,20.6149699645549,83.9136363636364,0.03094519033723,0.000957604805007,0.308661925556977,5.39199134199134,0.965808788787885,7.45834073119875E-155
Image27,0,1.11947631835938,66.186853088686,8.13553028933493,0.394538600726663,7.72665146314433,61.7906240786044,188.909200968523,0.589681787363579,0.347724610348305,0.721655748427176,4.33958837772397,0.8912075439539,7.45834073119875E-155
Image28,0,5.66337585449219,421.391533411932,20.527823396842,0.068329502091364,4.23153729788629,18.7751038911738,109.319492158327,0.228934436637162,0.052410976278375,0.503781567640272,4.40089619118745,0.966815112603084,7.45834073119875E-155
Image29,0,8.18742370605469,556.194827393652,23.5837831442212,0.244744381624757,3.34765889990514,11.7052029350704,78.9760244115083,0.453306016249624,0.205486344368104,0.655778966580484,2.91543156059285,0.976762481230574,7.45834073119875E-155
Image30,0,15.8574371337891,889.210217815986,29.8196280630055,0.193005978690766,2.2430917253826,5.48337910223466,66.4295302013423,0.398237397682832,0.158593024913194,0.633401411433861,3.03087248322148,0.980139639065765,7.45834073119875E-155
Image31,0,4.349365234375,214.853792848735,14.6578918282519,0.093111045189544,3.78810572178092,14.8084794720825,44.9145509145509,0.268945626957715,0.072331750259678,0.578900949626644,2.73873873873874,0.969132682397764,7.45834073119875E-155
Image32,1,13.1513671875,746.811462428683,27.327851405273,0.02734041438427,3.26171881254064,13.1399452921591,88.1480354365321,0.141823760345766,0.020113978998613,0.466941892246373,3.98167309122878,0.965955180012681,7.45834073119875E-155
Image33,1,14.8333282470703,808.652048882256,28.4368079939056,0.039451306783101,3.21695453019285,12.8743748928923,101.585129068462,0.17155917446889,0.029432550344447,0.49500182070944,3.87076318742985,0.963876610985663,7.45834073119875E-155
Image34,1,2.49972534179687,169.774758339931,13.0297643240364,0.006372560008615,6.25817276269105,46.7985089565932,195.514320785597,0.066628646757159,0.00443937656869,0.424634582880946,5.4537643207856,0.793971674541341,7.45834073119875E-155
Image35,0,2.01408386230469,69.1158136736125,8.31359210411555,0.135643967735047,4.4987598846542,20.6195679827095,20.6476702508961,0.32786112647956,0.107492918256446,0.665662419985962,1.65232974910394,0.969934358022091,7.45834073119875E-155
Image36,0,2.47067260742187,80.3936911204627,8.9662529029948,0.272505186758596,3.9651965840965,16.0748925876237,13.2064096817571,0.479623996103731,0.230039177638512,0.766913835277821,1.14679515912147,0.980842234751223,7.45834073119875E-155
Image37,1,4.96638488769531,208.847720843647,14.4515646503639,0.019947374971709,3.48398972665121,13.2619039161771,29.5013513513514,0.119390916804168,0.01425419101534,0.555104652143579,2.15540540540541,0.956588782592704,7.45834073119875E-155
Image38,0,3.0794677734375,119.985521340586,10.9537902728045,0.144366448301718,3.86267468078484,15.1456064793912,35.0960045990227,0.338391442891336,0.11450876862208,0.728910857724633,1.65651049152055,0.961676827767483,7.45834073119875E-155
Image39,0,7.73138427734375,194.859813558394,13.9592196615138,0.078340827969124,2.22860131750742,5.2163564973598,28.2470708679331,0.242900529666135,0.059000667312089,0.66896550431942,1.77658969400523,0.94976758778731,7.45834073119875E-155
Image40,0,6.27622985839844,174.692703293485,13.2171367282587,0.085651506119839,2.48553619908899,6.3585888523572,29.5524525599714,0.254149476870291,0.064591956593443,0.696600191722596,1.70225563909774,0.947647912622243,7.45834073119875E-155
Image41,0,3.94354248046875,122.208377551594,11.0547898013302,0.093945496966986,3.14864123293881,10.0834233274635,34.1087965461414,0.267539603357746,0.07157743936482,0.672447729477806,1.96006475984889,0.941313634736969,7.45834073119875E-155
Image42,0,1.11787414550781,39.9919671954202,6.32392023948912,0.203139334428764,5.95968401612157,36.0087154247339,64.5859619210003,0.407704855359846,0.166223249083993,0.705089674839605,2.73543620346689,0.909452751379984,7.45834073119875E-155
Image43,0,7.75816345214844,543.174167438391,23.3060972159302,0.226579735728143,3.36811594528375,11.6800522109219,92.0108391608392,0.434380725185505,0.188686614412685,0.677491559385879,2.78181818181818,0.973938605181652,7.45834073119875E-155
Image44,0,12.1353302001953,780.02527772674,27.928932627774,0.17529884258129,2.72086649526086,7.77574884549015,93.941475826972,0.378112415889489,0.142968999049786,0.622378493364401,3.32897128316976,0.973854513083687,7.45834073119875E-155
Image45,0,17.5005798339844,1031.95620071198,32.1240750950432,0.118040038926235,2.22385719284992,5.2671395741772,80.3682653061224,0.305721599800793,0.093465696584756,0.578650030305984,3.19663265306122,0.977246371410414,7.45834073119875E-155
Image46,0,20.1002197265625,1079.82773970481,32.8607324888659,0.116310868748084,2.01428703299072,4.44661785890888,90.7512477016023,0.303220101135258,0.091942429732476,0.584807662516161,3.28587689344191,0.973051881838064,7.45834073119875E-155
Image47,0,3.62068176269531,185.580754675429,13.6228027466975,0.138281289379356,4.26570792942575,19.1506099890204,101.763749260792,0.332935577057059,0.110846098470317,0.573733042973514,3.63305736250739,0.937041702772759,7.45834073119875E-155
